,Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hour,Arrival_min,Dep_hour,Dep_min,Duration_hour,Duration_min
36,8,3,0,1.0,8,4649.0,21,5,2019,20,20,15,5,5,15
37,1,3,0,0.0,8,6245.0,18,5,2019,16,45,14,15,2,30
38,4,0,5,1.0,8,19225.0,6,3,2019,13,15,7,0,6,15
39,4,2,1,1.0,8,14924.0,3,6,2019,19,0,7,5,11,55
40,6,2,1,1.0,8,9646.0,21,5,2019,18,10,7,5,11,5
41,1,0,5,1.0,8,8714.0,15,3,2019,15,15,6,45,8,30
42,4,2,1,1.0,5,12373.0,18,5,2019,19,0,20,55,22,5
43,0,0,2,0.0,8,3383.0,6,5,2019,13,55,11,10,2,45
44,6,2,1,1.0,8,13062.0,21,3,2019,21,0,9,0,12,0
45,8,0,5,0.0,7,3527.0,24,3,2019,8,35,5,45,2,50
46,3,0,2,0.0,8,3943.0,27,5,2019,6,50,4,0,2,50
47,1,1,4,0.0,8,4667.0,3,5,2019,13,55,11,40,2,15
48,1,3,0,1.0,8,6117.0,15,5,2019,11,5,19,0,16,5
49,4,2,1,2.0,5,11150.0,27,6,2019,19,0,23,5,19,55
50,4,2,1,0.0,5,7202.0,9,3,2019,14,15,11,0,3,15
51,4,3,0,1.0,8,12121.0,1,5,2019,10,55,9,35,25,20
52,3,0,5,0.0,8,4377.0,24,3,2019,1,10,22,20,2,50
53,3,0,2,0.0,8,3943.0,18,6,2019,0,15,21,15,3,0
54,0,0,2,0.0,8,4483.0,3,4,2019,2,45,23,55,2,50
55,4,3,0,1.0,8,14231.0,24,3,2019,12,0,19,45,16,15
56,1,0,5,2.0,8,17345.0,1,3,2019,23,55,8,50,15,5
57,10,1,4,0.0,8,7414.0,6,3,2019,9,20,7,5,2,15
58,6,2,1,1.0,8,8073.0,6,5,2019,1,30,19,0,6,30
59,10,4,3,1.0,8,12395.0,6,3,2019,16,45,15,40,25,5
60,1,3,0,1.0,8,8366.0,6,6,2019,21,50,9,25,12,25
61,1,2,1,1.0,8,5117.0,3,4,2019,9,25,6,5,27,20
62,6,2,1,1.0,8,12524.0,3,6,2019,19,0,8,45,10,15
63,3,2,1,1.0,8,7191.0,15,5,2019,1,30,15,0,10,30
64,10,1,4,0.0,8,3687.0,24,5,2019,9,20,7,5,2,15
65,3,2,1,1.0,8,5894.0,24,6,2019,21,0,10,35,10,25
66,10,0,2,0.0,8,5403.0,24,4,2019,12,35,9,45,2,50
67,1,4,3,0.0,8,3625.0,6,5,2019,15,25,13,55,1,30
68,1,2,1,2.0,8,10861.0,21,5,2019,19,15,5,55,13,20
69,3,1,4,0.0,8,6297.0,12,3,2019,15,35,13,20,2,15
70,4,4,3,0.0,8,5678.0,1,6,2019,8,30,7,5,1,25
71,4,0,5,1.0,5,9134.0,9,3,2019,8,15,5,45,26,30
72,6,2,1,1.0,5,10791.0,24,6,2019,19,0,11,40,7,20
73,4,2,1,2.0,8,12819.0,24,6,2019,12,35,23,5,13,30
74,3,2,1,1.0,8,6893.0,21,3,2019,10,5,5,5,5,0
75,10,0,5,0.0,8,7240.0,9,3,2019,12,35,9,50,2,45
76,2,0,2,0.0,8,3898.0,3,4,2019,14,30,11,40,2,50
77,3,4,3,0.0,8,4049.0,3,4,2019,7,55,6,25,1,30
78,4,2,1,1.0,5,10262.0,15,6,2019,12,35,17,30,19,5
79,8,1,4,0.0,7,3332.0,21,3,2019,10,35,8,20,2,15
80,4,3,0,1.0,5,10844.0,9,6,2019,12,0,21,10,14,50
81,4,0,5,0.0,8,7229.0,24,3,2019,22,35,19,55,2,40
82,4,3,0,1.0,8,13941.0,6,5,2019,4,40,6,30,22,10
83,3,2,1,1.0,8,5894.0,27,6,2019,21,0,11,25,9,35
84,6,2,1,1.0,8,10197.0,18,5,2019,19,0,9,0,10,0
85,4,0,5,1.0,5,13712.0,6,3,2019,11,25,14,5,21,20
86,3,2,1,1.0,8,5636.0,24,6,2019,7,25,2,0,5,25
87,4,2,1,2.0,8,13014.0,6,6,2019,4,25,9,40,18,45
88,4,3,0,1.0,5,7064.0,1,4,2019,20,45,8,25,12,20
89,4,3,0,1.0,5,10703.0,24,5,2019,14,25,20,25,18,0
90,6,2,1,1.0,8,9646.0,27,5,2019,22,30,13,15,9,15
91,6,2,1,1.0,8,17057.0,6,3,2019,13,20,2,15,11,5
92,4,0,5,1.0,8,13817.0,12,3,2019,10,25,16,55,17,30
93,1,2,1,2.0,8,13748.0,6,3,2019,19,15,5,55,13,20
94,1,3,0,0.0,8,4880.0,21,4,2019,23,20,20,45,2,35
95,3,1,4,0.0,8,3540.0,21,6,2019,7,40,5,15,2,25
96,8,0,2,0.0,7,3257.0,15,5,2019,8,35,5,55,2,40
97,4,0,2,0.0,5,6478.0,3,6,2019,22,50,19,50,3,0
98,4,4,3,0.0,8,8040.0,18,6,2019,8,30,7,5,1,25
99,4,2,1,2.0,8,14300.0,12,6,2019,12,35,20,0,16,35
100,4,3,0,1.0,8,14781.0,15,5,2019,20,45,8,25,12,20
101,4,3,0,1.0,8,14939.0,9,6,2019,8,15,20,0,12,15
102,4,2,1,1.0,5,10262.0,24,6,2019,4,25,20,55,7,30
103,1,3,0,1.0,8,6528.0,12,5,2019,14,35,14,35,24,0
104,1,0,2,0.0,8,6121.0,1,5,2019,8,55,6,10,2,45
105,4,2,1,2.0,5,13029.0,18,5,2019,4,25,19,30,8,55
106,6,2,1,1.0,8,11421.0,27,3,2019,18,50,11,40,7,10
107,6,2,1,1.0,8,7574.0,27,3,2019,19,15,4,45,14,30
108,1,2,1,2.0,8,11596.0,9,5,2019,19,15,12,55,30,20
109,4,2,1,2.0,8,15129.0,24,5,2019,19,0,23,5,19,55
110,4,0,5,1.0,8,13555.0,18,3,2019,5,5,14,5,15,0
111,3,0,2,0.0,8,5780.0,12,4,2019,21,50,18,55,2,55
112,10,3,0,1.0,8,9397.0,12,5,2019,9,5,20,20,12,45
113,4,2,1,1.0,8,17024.0,6,3,2019,4,25,18,15,10,10
114,2,2,1,1.0,8,5281.0,27,6,2019,12,55,7,0,5,55
115,6,2,1,1.0,8,10348.0,18,5,2019,22,30,7,5,15,25
116,1,2,1,1.0,8,12677.0,6,3,2019,9,25,17,20,16,5
117,6,2,1,1.0,8,15147.0,3,3,2019,1,35,15,25,10,10
118,10,0,2,0.0,8,4668.0,12,6,2019,9,40,7,0,2,40
119,4,2,1,1.0,8,15554.0,9,5,2019,19,0,7,5,11,55
120,8,0,2,0.0,8,3971.0,9,4,2019,8,35,5,55,2,40
121,1,4,3,0.0,8,3100.0,3,5,2019,16,25,15,0,1,25
122,4,3,0,1.0,5,9663.0,6,5,2019,10,5,20,0,14,5
123,1,2,1,1.0,8,27430.0,1,3,2019,19,15,23,0,20,15
124,3,1,4,0.0,8,3540.0,12,5,2019,7,40,5,15,2,25
125,1,3,0,2.0,8,10676.0,21,5,2019,11,10,12,0,23,10
126,4,3,0,1.0,8,13044.0,12,6,2019,8,15,14,5,18,10
127,4,3,0,1.0,8,14388.0,6,5,2019,12,0,20,0,16,0
128,3,0,2,0.0,8,3943.0,24,6,2019,6,50,4,0,2,50
129,3,1,4,0.0,8,3597.0,3,6,2019,17,5,14,45,2,20
130,1,0,5,1.0,8,5932.0,21,3,2019,19,50,11,50,8,0
131,4,2,1,1.0,5,10262.0,15,6,2019,4,25,11,30,16,55
132,10,2,1,0.0,8,6216.0,12,5,2019,17,50,14,40,3,10
133,3,3,0,0.0,8,4804.0,15,6,2019,23,10,20,25,2,45
134,6,2,1,1.0,8,14067.0,21,5,2019,1,30,11,30,14,0
135,4,2,1,2.0,8,15129.0,18,5,2019,19,0,19,10,23,50
136,4,2,1,2.0,8,13376.0,6,6,2019,4,25,6,45,21,40
137,1,2,1,2.0,8,10441.0,27,6,2019,19,15,22,0,21,15
138,4,0,2,0.0,5,4030.0,24,5,2019,8,45,6,0,2,45
139,4,2,1,1.0,8,17024.0,3,3,2019,18,50,8,0,10,50
140,6,2,1,1.0,8,13017.0,9,4,2019,1,30,17,30,8,0
141,2,3,0,1.0,8,6686.0,6,6,2019,7,45,23,30,8,15
142,3,2,1,1.0,8,5636.0,15,6,2019,7,25,2,0,5,25
143,3,2,1,1.0,8,6442.0,9,6,2019,16,10,7,35,8,35
144,6,2,1,1.0,8,9486.0,21,5,2019,0,55,13,5,11,50
145,4,3,0,1.0,5,10844.0,21,5,2019,23,35,20,0,27,35
146,4,2,1,2.0,5,15318.0,3,6,2019,4,25,20,0,8,25
147,1,2,1,1.0,8,5117.0,3,4,2019,9,25,12,30,20,55
148,3,2,1,1.0,8,6147.0,24,6,2019,20,0,15,10,4,50
149,6,2,1,1.0,8,7005.0,9,6,2019,21,0,12,50,8,10
150,8,3,0,0.0,8,3873.0,3,4,2019,0,40,22,20,2,20
151,4,2,1,2.0,5,9270.0,21,3,2019,18,50,18,25,24,25
152,2,0,2,0.0,8,3898.0,27,6,2019,14,30,11,40,2,50
153,4,3,0,1.0,8,14781.0,12,5,2019,20,45,8,25,12,20
154,4,3,0,1.0,5,8586.0,24,5,2019,8,15,20,0,12,15
155,1,3,0,2.0,8,10697.0,9,5,2019,7,55,8,20,23,35
156,4,2,1,2.0,8,14300.0,27,6,2019,12,35,20,0,16,35
157,3,0,5,0.0,8,8855.0,3,3,2019,21,45,18,55,2,50
158,4,3,0,1.0,5,10844.0,12,5,2019,18,15,16,30,25,45
159,4,2,1,1.0,8,17024.0,6,3,2019,4,25,2,15,26,10
160,4,3,0,1.0,5,9314.0,1,5,2019,14,25,9,35,28,50
161,3,0,5,0.0,8,4777.0,24,3,2019,3,25,0,40,2,45
162,1,3,0,1.0,8,7662.0,9,6,2019,13,15,12,0,25,15
163,3,2,1,1.0,8,6442.0,9,5,2019,16,10,6,50,9,20
164,8,2,1,1.0,8,5264.0,12,6,2019,13,15,8,45,4,30
165,4,2,1,1.0,5,12898.0,27,5,2019,4,25,13,0,15,25
166,1,4,3,0.0,8,6092.0,3,3,2019,15,25,13,55,1,30
167,8,0,2,0.0,8,3311.0,21,5,2019,8,35,5,55,2,40
168,4,2,1,1.0,5,6540.0,27,3,2019,4,25,19,15,9,10
169,3,0,2,0.0,8,3419.0,27,5,2019,4,15,1,30,2,45
170,4,2,1,1.0,5,5177.0,3,4,2019,12,35,14,0,22,35
171,1,2,1,0.0,8,8246.0,18,4,2019,21,10,18,5,3,5
172,4,3,0,1.0,8,14676.0,9,6,2019,21,5,9,35,11,30
173,6,2,1,1.0,8,13587.0,27,6,2019,21,0,11,30,9,30
174,4,3,0,1.0,5,9663.0,6,5,2019,9,20,21,10,12,10
175,4,3,0,1.0,8,13044.0,12,6,2019,10,5,16,30,17,35
176,3,2,1,1.0,8,5073.0,3,4,2019,1,30,20,25,5,5
177,10,3,0,1.0,8,9345.0,21,5,2019,18,50,17,0,25,50
178,4,3,0,1.0,5,9663.0,6,5,2019,10,5,14,5,20,0
179,6,2,1,1.0,8,14277.0,21,5,2019,21,0,8,0,13,0
180,4,2,1,1.0,5,10262.0,1,6,2019,4,25,10,0,18,25
181,4,4,3,0.0,8,5678.0,27,3,2019,21,5,19,35,1,30
182,6,2,1,1.0,8,13727.0,15,5,2019,1,30,16,0,9,30
183,4,3,0,1.0,5,9663.0,6,5,2019,12,0,20,0,16,0
184,3,1,4,0.0,8,3858.0,12,5,2019,17,5,14,45,2,20
185,8,2,1,1.0,8,4812.0,24,6,2019,13,15,8,45,4,30
186,3,2,1,1.0,8,5775.0,27,6,2019,3,35,21,50,5,45
187,4,3,0,1.0,5,10539.0,6,6,2019,9,45,9,35,24,10
188,3,3,0,0.0,8,4804.0,3,6,2019,18,5,15,30,2,35
189,0,0,2,0.0,8,3383.0,12,6,2019,13,55,11,10,2,45
190,3,0,5,1.0,8,8738.0,3,3,2019,17,5,12,10,4,55
191,1,2,1,1.0,8,7165.0,27,3,2019,6,50,5,15,25,35
192,3,2,1,1.0,8,6412.0,24,6,2019,22,30,16,10,6,20
193,4,0,2,0.0,8,8016.0,27,6,2019,22,0,18,55,3,5
194,4,0,5,1.0,5,11087.0,12,3,2019,15,15,20,35,18,40
195,8,1,4,0.0,7,3543.0,27,6,2019,12,0,9,45,2,15
196,4,3,0,1.0,8,12471.0,12,6,2019,4,40,16,30,12,10
197,4,2,1,1.0,5,10262.0,24,6,2019,4,25,9,0,19,25
198,1,0,5,0.0,8,4441.0,18,3,2019,16,10,13,20,2,50
199,6,2,1,1.0,8,12537.0,27,3,2019,15,30,7,5,8,25
200,2,3,0,1.0,8,10091.0,24,3,2019,7,40,22,25,9,15
201,1,0,2,0.0,8,6961.0,3,6,2019,23,55,21,5,2,50
202,3,2,1,0.0,8,5013.0,24,4,2019,8,50,5,35,3,15
203,1,2,1,0.0,8,6934.0,18,5,2019,8,0,5,10,2,50
204,6,2,1,1.0,8,10877.0,3,6,2019,19,0,6,40,12,20
205,4,0,2,0.0,8,7229.0,18,4,2019,18,10,15,15,2,55
206,3,2,1,1.0,8,7048.0,27,3,2019,1,35,16,0,9,35
207,10,0,2,0.0,8,4878.0,27,6,2019,19,35,17,0,2,35
208,4,3,0,1.0,5,10844.0,21,5,2019,23,35,14,5,9,30
209,4,2,1,2.0,8,15129.0,18,5,2019,4,25,23,5,29,20
210,3,0,2,0.0,8,3943.0,12,5,2019,3,25,0,30,2,55
211,8,2,1,1.0,8,5583.0,6,6,2019,11,20,6,5,5,15
212,6,2,1,1.0,8,9646.0,6,6,2019,16,10,7,5,9,5
213,6,2,1,1.0,8,7677.0,3,6,2019,19,15,8,30,10,45
214,3,2,1,1.0,8,6842.0,1,6,2019,10,5,5,10,4,55
215,4,4,3,0.0,5,4995.0,24,6,2019,10,15,8,45,1,30
216,10,3,0,1.0,8,9555.0,9,6,2019,18,50,7,10,11,40
217,3,0,2,0.0,8,4077.0,1,6,2019,4,15,1,30,2,45
218,4,0,2,0.0,8,7229.0,12,5,2019,18,10,15,15,2,55
219,6,2,1,1.0,8,12192.0,9,6,2019,19,0,9,0,10,0
220,1,0,2,0.0,8,5911.0,12,4,2019,12,45,10,0,2,45
221,1,2,1,1.0,8,8372.0,12,6,2019,19,15,9,0,10,15
222,4,4,3,0.0,5,4995.0,18,3,2019,8,35,7,10,1,25
223,6,2,1,1.0,8,14323.0,9,5,2019,19,15,10,0,9,15
224,4,2,1,2.0,8,13014.0,9,6,2019,4,25,5,30,22,55
225,1,2,1,2.0,8,13591.0,6,6,2019,19,15,14,25,28,50
226,4,2,1,2.0,8,18799.0,3,3,2019,18,50,5,25,37,25
227,3,0,2,0.0,8,3943.0,27,4,2019,2,20,23,30,2,50
228,8,4,3,0.0,7,1965.0,21,5,2019,7,15,5,45,1,30
229,4,4,3,0.0,5,4995.0,27,5,2019,11,50,10,20,1,30
230,1,3,0,1.0,8,14641.0,24,3,2019,18,30,16,50,25,40
231,1,3,0,0.0,8,4460.0,12,4,2019,23,20,20,45,2,35
232,1,2,1,1.0,8,10191.0,18,5,2019,19,15,13,0,6,15
233,4,2,1,1.0,5,13843.0,9,3,2019,19,45,2,15,17,30
234,3,2,1,1.0,8,6349.0,1,5,2019,3,35,21,50,5,45
235,0,3,0,0.0,8,4409.0,1,5,2019,12,55,10,20,2,35
236,4,2,1,1.0,8,17024.0,6,3,2019,19,45,18,15,25,30
237,6,2,1,1.0,8,13727.0,18,5,2019,21,0,7,5,13,55
238,3,0,5,0.0,8,8855.0,15,3,2019,21,20,18,25,2,55
239,6,2,1,1.0,8,12524.0,24,6,2019,19,0,8,45,10,15
240,4,0,5,1.0,8,13555.0,18,3,2019,20,20,11,40,8,40
241,4,3,0,1.0,5,10844.0,6,6,2019,12,0,6,30,5,30
242,6,2,1,1.0,8,13587.0,9,6,2019,21,0,9,0,12,0
243,8,1,4,0.0,7,3543.0,12,6,2019,12,0,9,45,2,15
244,10,1,4,0.0,8,4842.0,18,3,2019,9,20,7,5,2,15
245,3,0,2,0.0,8,3943.0,24,4,2019,2,20,23,30,2,50
246,4,2,1,1.0,5,10577.0,9,6,2019,4,25,19,15,9,10
247,3,2,1,1.0,8,6979.0,15,5,2019,21,0,10,35,10,25
248,10,1,4,0.0,8,11982.0,27,6,2019,20,5,17,45,2,20
249,8,2,1,1.0,8,5264.0,6,6,2019,13,15,8,45,4,30
250,10,2,1,0.0,8,8001.0,3,3,2019,9,10,6,0,3,10
251,1,2,1,2.0,8,10651.0,1,6,2019,19,15,19,45,23,30
252,4,3,0,1.0,5,10844.0,24,5,2019,19,50,16,30,27,20
253,6,2,1,1.0,8,6601.0,27,3,2019,22,20,9,45,12,35
254,1,2,1,1.0,8,6587.0,21,3,2019,19,15,19,0,24,15
255,8,4,3,0.0,8,3173.0,21,3,2019,14,30,13,10,1,20
256,1,0,2,0.0,8,5228.0,9,5,2019,12,45,10,0,2,45
257,4,0,2,0.0,5,5769.0,21,6,2019,10,10,7,10,3,0
258,4,2,1,1.0,8,14714.0,6,6,2019,19,0,8,0,11,0
259,4,2,1,2.0,8,13014.0,3,6,2019,19,0,5,30,13,30
260,3,0,2,0.0,8,3359.0,3,6,2019,1,0,22,10,2,50
261,2,0,5,0.0,8,6722.0,3,3,2019,23,50,20,55,2,55
262,3,3,0,0.0,8,4462.0,18,3,2019,12,20,9,35,2,45
263,3,2,1,1.0,8,6171.0,9,3,2019,16,10,4,55,11,15
264,1,3,0,2.0,8,12303.0,21,5,2019,20,25,5,50,14,35
265,6,2,1,1.0,8,7695.0,21,3,2019,1,35,11,40,13,55
266,3,2,1,1.0,8,5684.0,24,6,2019,1,30,11,25,14,5
267,1,3,0,1.0,8,8366.0,12,6,2019,7,55,16,50,15,5
268,1,1,4,0.0,8,19630.0,1,3,2019,13,55,11,40,2,15
269,4,0,5,1.0,5,13502.0,6,3,2019,5,5,14,5,15,0
270,4,3,0,1.0,8,14781.0,1,5,2019,10,5,21,10,12,55
271,6,2,1,1.0,8,6513.0,12,6,2019,16,10,7,10,9,0
272,1,2,1,1.0,8,9929.0,1,6,2019,19,15,7,0,12,15
273,6,2,1,2.0,8,18275.0,6,6,2019,1,30,17,50,7,40
274,1,2,1,1.0,8,4487.0,9,4,2019,9,25,6,5,27,20
275,3,4,3,0.0,8,2754.0,15,3,2019,22,45,21,20,1,25
276,1,4,3,0.0,8,2575.0,27,3,2019,7,40,6,20,1,20
277,8,3,0,1.0,8,8224.0,12,6,2019,21,25,15,55,5,30
278,1,2,1,1.0,8,8991.0,9,3,2019,8,15,20,30,11,45
279,3,2,1,0.0,8,5000.0,24,6,2019,8,50,5,35,3,15
280,4,3,0,1.0,5,8529.0,12,6,2019,19,50,18,55,24,55
281,1,2,1,1.0,8,14042.0,3,3,2019,9,25,6,5,27,20
282,4,0,2,0.0,5,4030.0,24,5,2019,14,5,11,10,2,55
283,4,3,0,1.0,5,10844.0,6,6,2019,12,0,18,55,17,5
284,3,3,0,0.0,8,4804.0,6,5,2019,0,5,21,25,2,40
285,6,2,1,1.0,5,7308.0,27,5,2019,1,30,17,30,8,0
286,3,0,2,0.0,8,4823.0,12,5,2019,19,55,16,55,3,0
287,4,2,1,1.0,5,10262.0,24,6,2019,12,35,9,0,27,35
288,4,2,1,1.0,5,12898.0,27,5,2019,4,25,20,55,7,30
289,1,0,5,2.0,8,12778.0,12,3,2019,16,20,17,25,22,55
290,3,2,1,1.0,8,14871.0,3,3,2019,13,20,4,45,8,35
291,1,2,1,2.0,8,8708.0,21,3,2019,19,15,13,20,29,55
292,4,3,0,1.0,5,10844.0,6,6,2019,18,15,20,0,22,15
293,8,4,3,0.0,8,4129.0,6,3,2019,7,5,5,45,1,20
294,3,3,0,0.0,8,4804.0,18,5,2019,0,5,21,25,2,40
295,4,0,2,0.0,8,7229.0,6,5,2019,11,20,8,20,3,0
296,4,0,5,1.0,5,7832.0,21,3,2019,19,10,7,0,12,10
297,8,1,4,0.0,8,3859.0,18,3,2019,12,5,9,30,2,35
298,6,2,1,1.0,8,9001.0,6,6,2019,19,15,7,30,11,45
299,10,0,2,0.0,8,4878.0,9,5,2019,19,35,17,0,2,35
300,3,4,3,0.0,8,2754.0,3,5,2019,4,5,2,35,1,30
301,10,0,2,0.0,8,4668.0,27,6,2019,9,40,7,0,2,40
302,0,3,0,0.0,8,5216.0,12,5,2019,12,55,10,20,2,35
303,4,2,1,2.0,5,10368.0,6,6,2019,4,25,5,30,22,55
304,3,2,1,2.0,8,8146.0,9,3,2019,21,20,6,40,14,40
305,4,2,1,1.0,8,12242.0,27,3,2019,4,25,13,0,15,25
306,4,0,5,1.0,5,9134.0,15,3,2019,15,15,8,0,7,15
307,1,2,1,2.0,8,10939.0,6,6,2019,9,25,13,15,20,10
308,1,2,1,2.0,8,11753.0,6,6,2019,7,40,10,55,20,45
309,8,3,0,0.0,8,4174.0,24,4,2019,19,40,17,10,2,30
310,4,3,0,1.0,5,10844.0,21,5,2019,19,50,20,0,23,50
311,4,2,1,1.0,8,14714.0,3,6,2019,19,0,16,0,27,0
312,4,3,0,1.0,5,9899.0,12,6,2019,12,0,6,30,5,30
313,3,2,1,1.0,8,14871.0,3,3,2019,21,0,9,10,11,50
314,3,1,4,0.0,8,7295.0,6,3,2019,15,35,13,20,2,15
315,1,2,1,2.0,8,13465.0,6,6,2019,19,15,18,45,24,30
316,8,1,4,0.0,7,3543.0,21,5,2019,20,5,17,45,2,20
317,6,2,1,1.0,8,7198.0,27,6,2019,1,30,19,0,6,30
318,4,2,1,1.0,5,10262.0,1,6,2019,4,25,8,0,20,25
319,3,3,0,0.0,8,4148.0,15,3,2019,17,55,15,20,2,35
320,4,0,2,0.0,8,8016.0,27,6,2019,18,10,15,15,2,55
321,4,2,1,1.0,5,10262.0,9,6,2019,4,25,22,50,5,35
322,8,3,0,0.0,7,3841.0,15,6,2019,17,25,14,55,2,30
323,4,0,5,1.0,8,11507.0,12,3,2019,0,30,9,45,14,45
324,4,3,0,1.0,8,14781.0,1,5,2019,20,45,8,25,12,20
325,4,2,1,1.0,8,16079.0,27,5,2019,19,0,17,30,25,30
326,4,2,1,1.0,5,12898.0,27,5,2019,4,25,22,50,5,35
327,6,2,1,1.0,8,15353.0,6,3,2019,19,15,7,30,11,45
328,3,0,5,0.0,8,7303.0,24,3,2019,21,20,18,25,2,55
329,8,3,0,1.0,8,6197.0,24,3,2019,20,45,15,5,5,40
330,1,3,0,1.0,8,8996.0,9,6,2019,13,15,9,10,4,5
331,3,2,1,1.0,8,6528.0,21,3,2019,22,20,14,20,8,0
332,2,0,2,0.0,8,4239.0,9,4,2019,23,40,20,55,2,45
333,3,3,0,0.0,8,4148.0,12,3,2019,23,5,20,25,2,40
334,8,0,2,0.0,8,3971.0,24,5,2019,0,5,21,10,2,55
335,0,3,0,1.0,8,5192.0,6,5,2019,23,30,7,35,15,55
336,4,2,1,2.0,8,9483.0,9,4,2019,12,35,13,25,23,10
337,4,2,1,2.0,8,18804.0,3,6,2019,19,0,11,40,7,20
338,1,2,1,0.0,8,5201.0,18,6,2019,8,0,5,10,2,50
339,4,2,1,1.0,8,16079.0,27,5,2019,19,0,11,30,7,30
340,4,0,2,0.0,5,7229.0,15,6,2019,22,50,19,50,3,0
341,6,2,1,1.0,8,6795.0,27,5,2019,1,30,17,45,7,45
342,4,3,0,1.0,8,10953.0,9,5,2019,10,55,9,35,25,20
343,6,2,1,2.0,8,15965.0,24,6,2019,1,30,15,5,10,25
344,1,2,1,2.0,8,9968.0,9,4,2019,19,15,12,55,30,20
345,3,3,0,0.0,8,4804.0,6,6,2019,0,50,22,15,2,35
346,4,2,1,1.0,8,16079.0,27,5,2019,19,0,10,0,9,0
347,4,2,1,2.0,5,11507.0,12,6,2019,12,35,21,25,15,10
348,1,3,0,2.0,8,11542.0,9,6,2019,13,45,9,25,28,20
349,4,0,2,0.0,8,7229.0,24,4,2019,20,45,17,45,3,0
350,4,0,2,0.0,5,4544.0,27,4,2019,8,45,6,0,2,45
351,3,2,1,1.0,8,6496.0,15,5,2019,10,5,5,10,4,55
352,3,3,0,0.0,8,4804.0,15,6,2019,0,5,21,25,2,40
353,1,0,5,1.0,8,13439.0,1,3,2019,9,15,11,5,22,10
354,4,2,1,1.0,5,6540.0,27,3,2019,4,25,18,15,10,10
355,3,0,2,0.0,8,4591.0,1,6,2019,2,20,23,30,2,50
356,3,0,5,1.0,8,4437.0,18,3,2019,20,35,16,15,4,20
357,0,2,1,1.0,8,6151.0,21,3,2019,7,10,20,10,11,0
358,4,0,2,0.0,5,7754.0,21,6,2019,20,45,17,45,3,0
359,4,2,1,1.0,5,10262.0,24,6,2019,12,35,14,0,22,35
360,4,0,2,0.0,8,8016.0,9,6,2019,22,0,18,55,3,5
361,8,3,0,0.0,7,4781.0,24,3,2019,9,35,6,55,2,40
362,10,0,2,0.0,8,4668.0,27,6,2019,14,20,11,30,2,50
363,1,0,5,1.0,8,14594.0,6,3,2019,8,55,11,50,21,5
